Record Id,Score updated date,Overall recommendation,Lead Owner,Created By.id,Created By,Instagram link,Instagram Handle,SoMe score,Main social media,Posting frequency,Follower count,Posts last 30 days,Followers last 30 days,Posts last 90 days,Followers Gained Last 90 days,Analysis status,Engagement Rate,Followers Gained Last 30 days,total_score,category_some_2_0
zcrm_699287000002448175,2025-12-11,ignore,Maike Brahms,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/renevogel26,renevogel26,2.57,Instagram,0.1,17311.0,3.0,,9.0,57.0,Ranked,1.81,2.0,1.1681432684192172,review
zcrm_699287000002469899,2025-12-11,review,Mimi Jamily,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/_mssn,_mssn,4.26,Instagram,0.02,21236.0,2.0,1212.0,2.0,-483.0,Ranked,25.57,-135.0,4.671314031421305,review
zcrm_699287000002502050,2025-12-11,ignore,Koen Besseling,zcrm_699287000001851017,Omar Walker,https://www.instagram.com/gemma_alicia_fit/,gemma_alicia_fit,1.77,Instagram,0.36,11847.0,9.0,,32.0,-117.0,Ranked,0.0,1.0,0.5927553111618955,ignore
zcrm_699287000002517349,2025-12-11,review,System User,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/dr.joeymunoz,dr.joeymunoz,6.88,Instagram,2.36,370776.0,85.0,2968.0,212.0,-3886.0,Ranked,0.22,-697.0,4.84665209291301,review
zcrm_699287000002539665,2025-12-11,review,Estefania Distola,zcrm_699287000001856001,Nacho Merino,https://www.instagram.com/mfitmarino,mfitmarino,6.16,Instagram,0.6,228678.0,18.0,,52.0,1685.0,Ranked,1.09,638.0,3.2150906657148974,review
zcrm_699287000002547466,2025-12-11,review,Tom Harding,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/anna.denell,anna.denell,7.57,Instagram,2.11,194299.0,63.0,886.0,190.0,45077.0,Ranked,1.06,13433.0,3.8415828074826956,review
zcrm_699287000002564699,2025-12-11,review,Tom Harding,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/carina_hartmann_/,carina_hartmann_,6.97,Instagram,1.02,188265.0,28.0,,92.0,-4458.0,Ranked,0.33,-1775.0,3.1026738833644076,review
zcrm_699287000002568711,2025-12-11,launch,Danielle Rosario,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/constant_growth_,constant_growth_,6.36,Instagram,0.49,535057.0,15.0,-78.0,44.0,8417.0,Ranked,1.82,7648.0,5.348639465744189,launch
zcrm_699287000002570300,2025-12-11,ignore,Nicholas Larsen,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/chifit.pro,chifit.pro,3.46,Instagram,0.01,2937.0,1.0,,1.0,2.0,Ranked,13.15,2.0,4.509941218730554,review
zcrm_699287000002578184,2025-12-11,launch,Mimi Jamily,zcrm_699287000001865001,Cem Ahmet,https://www.instagram.com/inspojez,inspojez,8.16,Instagram,0.5,73976.0,17.0,3067.0,45.0,1163.0,Ranked,5.89,256.0,4.205766989661308,launch
zcrm_699287000002581997,2025-12-11,review,System User,zcrm_699287000001852001,Holly Lippman,https://www.instagram.com/body_by_natalie,body_by_natalie,5.6,Instagram,0.56,55465.0,17.0,-31.0,50.0,-1967.0,Ranked,1.58,-179.0,2.0068843678365638,ignore
zcrm_699287000002582206,2025-12-11,review,Maike Brahms,zcrm_699287000002232001,Leo Wahnschaffe,https://www.instagram.com/kathinimmtab_,kathinimmtab_,6.3,Instagram,0.63,90916.0,18.0,,57.0,-1561.0,Ranked,1.12,-543.0,2.162786970599656,ignore
zcrm_699287000009682512,2025-12-11,launch,Mimi Jamily,zcrm_699287000001847469,Will Barrett,https://www.instagram.com/globerunnergriff,globerunnergriff,8.91,Instagram,1.21,71872.0,34.0,,109.0,19018.0,Ranked,2.83,5001.0,3.6698965877601966,review
zcrm_699287000015554002,2025-12-11,ignore,Celia Elhazaz,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/patyyfit_/,patyyfit_,0.0,Instagram,,19666.0,,,,,Ranked,0.71,,0.5021547005028146,ignore
zcrm_699287000021395315,2025-12-11,wrong_handle,System User,zcrm_699287000001895033,Danielle Rosario,https://www.instagram.com/stefiguerreiro_fit,stefiguerreiro_fit,0.0,Instagram,0.47,58746.0,12.0,,42.0,-3321.0,Ranked,0.75,-2088.0,1.4960680211114945,review
