Record Id,Score updated date,Overall recommendation,Lead Owner,Created By.id,Created By,Instagram link,Instagram Handle,SoMe score,Main social media,Posting frequency,Follower count,Posts last 30 days,Followers last 30 days,Posts last 90 days,Followers Gained Last 90 days,Analysis status,Engagement Rate,Followers Gained Last 30 days,category_some_2_0,confidence_some_2_0,pf_score,er_score,fc_score,total_score,priority_score
zcrm_699287000002448175,2025-12-11,ignore,Maike Brahms,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/renevogel26,renevogel26,2.57,Instagram,0.1,17311.0,3.0,,9.0,57.0,Ranked,1.81,2.0,review,0.7644311797044561,0.1403061224489796,0.8961881499983423,0.13164899597189536,1.1681432684192172,5.057724718817824
zcrm_699287000002469899,2025-12-11,review,Mimi Jamily,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/_mssn,_mssn,4.26,Instagram,0.02,21236.0,2.0,1212.0,2.0,-483.0,Ranked,25.57,-135.0,review,0.8734300197752999,0.02806122448979592,4.48,0.16325280693150937,4.671314031421305,5.4937200791012
zcrm_699287000002502050,2025-12-11,ignore,Koen Besseling,zcrm_699287000001851017,Omar Walker,https://www.instagram.com/gemma_alicia_fit/,gemma_alicia_fit,1.77,Instagram,0.36,11847.0,9.0,,32.0,-117.0,Ranked,0.0,1.0,ignore,0.8678101779717493,0.5051020408163265,0.0,0.08765327034556898,0.5927553111618955,3.4712407118869972
zcrm_699287000002517349,2025-12-11,review,System User,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/dr.joeymunoz,dr.joeymunoz,6.88,Instagram,2.36,370776.0,85.0,2968.0,212.0,-3886.0,Ranked,0.22,-697.0,review,0.6130245479864628,1.76,0.10892894640863829,2.977723146504372,4.84665209291301,4.452098191945851
zcrm_699287000002539665,2025-12-11,review,Estefania Distola,zcrm_699287000001856001,Nacho Merino,https://www.instagram.com/mfitmarino,mfitmarino,6.16,Instagram,0.6,228678.0,18.0,,52.0,1685.0,Ranked,1.09,638.0,review,0.6422795884926676,0.8418367346938775,0.5396934162973444,1.8335605147236753,3.2150906657148974,4.569118353970671
zcrm_699287000002547466,2025-12-11,review,Tom Harding,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/anna.denell,anna.denell,7.57,Instagram,2.11,194299.0,63.0,886.0,190.0,45077.0,Ranked,1.06,13433.0,review,0.9216333066862966,1.76,0.5248394690598027,1.556743338422893,3.8415828074826956,5.686533226745187
zcrm_699287000002564699,2025-12-11,review,Tom Harding,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/carina_hartmann_/,carina_hartmann_,6.97,Instagram,1.02,188265.0,28.0,,92.0,-4458.0,Ranked,0.33,-1775.0,review,0.5616895018007616,1.431122448979592,0.16339341961295742,1.5081580147718583,3.1026738833644076,4.246758007203047
zcrm_699287000002568711,2025-12-11,launch,Danielle Rosario,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/constant_growth_,constant_growth_,6.36,Instagram,0.49,535057.0,15.0,-78.0,44.0,8417.0,Ranked,1.82,7648.0,launch,0.739990349494227,0.6875,0.9011394657441895,3.76,5.348639465744189,8.959961397976908
zcrm_699287000002570300,2025-12-11,ignore,Nicholas Larsen,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/chifit.pro,chifit.pro,3.46,Instagram,0.01,2937.0,1.0,,1.0,2.0,Ranked,13.15,2.0,review,0.8824477149243958,0.01403061224489796,4.48,0.015910606485655364,4.509941218730554,5.529790859697583
zcrm_699287000002578184,2025-12-11,launch,Mimi Jamily,zcrm_699287000001865001,Cem Ahmet,https://www.instagram.com/inspojez,inspojez,8.16,Instagram,0.5,73976.0,17.0,3067.0,45.0,1163.0,Ranked,5.89,256.0,launch,0.7961980108179749,0.701530612244898,2.916324974303998,0.5879114031124121,4.205766989661308,9.1847920432719
